Customer_ID,Age,Gender,Location,Total_Spend,Average_Order_Value,Previous_Purchases,Average_Rating,Discount_Usage_Rate,Promo_Usage_Rate,Subscription_Rate,Customer_Value_Tier
103,51,Male,Oklahoma,67,67.0,35,4.8,1.0,1.0,1.0,Medium
104,54,Male,West Virginia,89,89.0,22,4.0,1.0,1.0,1.0,High
105,55,Male,New Hampshire,24,24.0,1,4.4,1.0,1.0,1.0,Low
106,69,Male,New York,96,96.0,4,3.6,1.0,1.0,1.0,High
107,64,Male,Minnesota,35,35.0,31,3.7,1.0,1.0,1.0,Low
108,28,Male,Maryland,67,67.0,46,3.1,1.0,1.0,1.0,Medium
109,70,Male,Montana,79,79.0,32,3.4,1.0,1.0,1.0,High
110,58,Male,Alabama,85,85.0,43,2.6,1.0,1.0,1.0,High
111,56,Male,New York,26,26.0,26,4.0,1.0,1.0,1.0,Low
112,26,Male,Massachusetts,75,75.0,9,5.0,1.0,1.0,1.0,High
113,37,Male,Florida,65,65.0,28,4.3,1.0,1.0,1.0,Medium
114,44,Male,New Jersey,54,54.0,20,3.1,1.0,1.0,1.0,Medium
115,70,Male,Massachusetts,95,95.0,9,3.7,1.0,1.0,1.0,High
116,53,Male,Wyoming,94,94.0,48,3.8,1.0,1.0,1.0,High
117,55,Male,Virginia,86,86.0,12,3.4,1.0,1.0,1.0,High
118,50,Male,South Dakota,32,32.0,29,4.6,1.0,1.0,1.0,Low
119,50,Male,Kentucky,45,45.0,27,4.8,1.0,1.0,1.0,Low
120,38,Male,Wyoming,76,76.0,44,4.3,1.0,1.0,1.0,High
121,64,Male,West Virginia,84,84.0,32,4.0,1.0,1.0,1.0,High
122,19,Male,Virginia,72,72.0,11,4.2,1.0,1.0,1.0,Medium
123,40,Male,Washington,40,40.0,44,4.8,1.0,1.0,1.0,Low
124,57,Male,Louisiana,89,89.0,46,3.1,1.0,1.0,1.0,High
125,44,Male,Nevada,86,86.0,50,3.1,1.0,1.0,1.0,High
126,49,Male,California,54,54.0,45,3.6,1.0,1.0,1.0,Medium
127,43,Male,Mississippi,36,36.0,48,3.9,1.0,1.0,1.0,Low
128,24,Male,Mississippi,89,89.0,26,4.8,1.0,1.0,1.0,High
129,20,Male,California,32,32.0,21,4.7,1.0,1.0,1.0,Low
130,24,Male,Pennsylvania,67,67.0,49,4.2,1.0,1.0,1.0,Medium
131,44,Male,Kentucky,39,39.0,13,3.7,1.0,1.0,1.0,Low
132,28,Male,Maine,29,29.0,46,3.9,1.0,1.0,1.0,Low
133,30,Male,New Mexico,58,58.0,42,4.7,1.0,1.0,1.0,Medium
134,52,Male,Montana,65,65.0,25,2.5,1.0,1.0,1.0,Medium
135,43,Male,Texas,94,94.0,25,4.9,1.0,1.0,1.0,High
136,43,Male,Kansas,81,81.0,12,4.1,1.0,1.0,1.0,High
137,39,Male,South Carolina,86,86.0,4,3.3,1.0,1.0,1.0,High
138,68,Male,Colorado,43,43.0,38,4.7,1.0,1.0,1.0,Low
139,68,Male,Georgia,29,29.0,42,4.4,1.0,1.0,1.0,Low
140,49,Male,Florida,95,95.0,30,3.8,1.0,1.0,1.0,High
141,63,Male,North Carolina,28,28.0,50,3.9,1.0,1.0,1.0,Low
142,56,Male,Virginia,46,46.0,45,4.9,1.0,1.0,1.0,Medium
143,37,Male,Nebraska,58,58.0,33,3.1,1.0,1.0,1.0,Medium
144,30,Male,Missouri,48,48.0,25,2.7,1.0,1.0,1.0,Medium
145,19,Male,New Jersey,43,43.0,25,3.2,1.0,1.0,1.0,Low
146,24,Male,Missouri,95,95.0,44,4.5,1.0,1.0,1.0,High
147,52,Male,Colorado,30,30.0,21,4.0,1.0,1.0,1.0,Low
148,63,Male,Idaho,64,64.0,31,3.5,1.0,1.0,1.0,Medium
149,37,Male,Wyoming,90,90.0,47,2.6,1.0,1.0,1.0,High
150,38,Male,Delaware,76,76.0,14,3.2,1.0,1.0,1.0,High
151,35,Male,California,96,96.0,17,4.9,1.0,1.0,1.0,High
152,28,Male,North Dakota,47,47.0,3,4.5,1.0,1.0,1.0,Medium
153,30,Male,South Carolina,85,85.0,42,4.3,1.0,1.0,1.0,High
154,69,Male,North Carolina,55,55.0,22,3.2,1.0,1.0,1.0,Medium
155,41,Male,Oklahoma,98,98.0,21,3.6,1.0,1.0,1.0,High
156,63,Male,Maine,77,77.0,21,4.3,1.0,1.0,1.0,High
157,35,Male,Missouri,26,26.0,40,4.0,1.0,1.0,1.0,Low
158,36,Male,Vermont,68,68.0,1,3.0,1.0,1.0,1.0,Medium
159,25,Male,Connecticut,73,73.0,50,4.1,1.0,1.0,1.0,Medium
160,58,Male,New Hampshire,27,27.0,39,3.8,1.0,1.0,1.0,Low
161,27,Male,Texas,23,23.0,34,4.6,1.0,1.0,1.0,Low
162,65,Male,North Dakota,49,49.0,29,3.0,1.0,1.0,1.0,Medium
163,54,Male,California,74,74.0,31,3.0,1.0,1.0,1.0,High
164,54,Male,Virginia,67,67.0,8,3.4,1.0,1.0,1.0,Medium
165,59,Male,Delaware,65,65.0,5,2.6,1.0,1.0,1.0,Medium
166,42,Male,Kentucky,60,60.0,7,2.8,1.0,1.0,1.0,Medium
167,46,Male,Delaware,31,31.0,30,4.0,1.0,1.0,1.0,Low
168,33,Male,Arkansas,27,27.0,14,4.0,1.0,1.0,1.0,Low
169,34,Male,Louisiana,80,80.0,5,3.0,1.0,1.0,1.0,High
170,27,Male,Nevada,30,30.0,3,3.3,1.0,1.0,1.0,Low
171,52,Male,Wyoming,25,25.0,46,2.6,1.0,1.0,1.0,Low
172,29,Male,Virginia,35,35.0,4,3.6,1.0,1.0,1.0,Low
173,54,Male,Nebraska,67,67.0,42,3.9,1.0,1.0,1.0,Medium
174,25,Male,Hawaii,46,46.0,30,3.4,1.0,1.0,1.0,Medium
175,41,Male,Vermont,35,35.0,37,3.5,1.0,1.0,1.0,Low
176,53,Male,Oklahoma,86,86.0,2,2.8,1.0,1.0,1.0,High
177,53,Male,New Hampshire,81,81.0,30,2.7,1.0,1.0,1.0,High
178,21,Male,Kansas,42,42.0,47,3.7,1.0,1.0,1.0,Low
179,61,Male,Idaho,43,43.0,21,4.3,1.0,1.0,1.0,Low
180,64,Male,Illinois,31,31.0,9,4.9,1.0,1.0,1.0,Low
181,51,Male,South Dakota,81,81.0,12,3.3,1.0,1.0,1.0,High
182,32,Male,Massachusetts,61,61.0,4,4.7,1.0,1.0,1.0,Medium
183,38,Male,Alabama,96,96.0,10,2.8,1.0,1.0,1.0,High
184,58,Male,Ohio,29,29.0,26,3.6,1.0,1.0,1.0,Low
185,32,Male,Hawaii,33,33.0,40,3.0,1.0,1.0,1.0,Low
186,46,Male,Wisconsin,32,32.0,34,4.5,1.0,1.0,1.0,Low
187,39,Male,Minnesota,56,56.0,31,2.9,1.0,1.0,1.0,Medium
188,19,Male,Georgia,94,94.0,1,3.3,1.0,1.0,1.0,High
189,50,Male,Arkansas,53,53.0,5,3.1,1.0,1.0,1.0,Medium
190,36,Male,West Virginia,82,82.0,4,4.4,1.0,1.0,1.0,High
191,65,Male,Indiana,70,70.0,48,3.0,1.0,1.0,1.0,Medium
192,64,Male,Utah,76,76.0,29,3.9,1.0,1.0,1.0,High
193,46,Male,Nebraska,29,29.0,12,2.9,1.0,1.0,1.0,Low
194,36,Male,North Dakota,100,100.0,29,3.0,1.0,1.0,1.0,High
195,51,Male,Missouri,94,94.0,15,3.1,1.0,1.0,1.0,High
196,51,Male,New York,25,25.0,34,4.3,1.0,1.0,1.0,Low
197,38,Male,Washington,88,88.0,41,3.9,1.0,1.0,1.0,High
198,59,Male,South Carolina,78,78.0,41,3.2,1.0,1.0,1.0,High
199,57,Male,Utah,45,45.0,39,4.8,1.0,1.0,1.0,Low
200,54,Male,Idaho,73,73.0,32,3.8,1.0,1.0,1.0,Medium
201,25,Male,Pennsylvania,61,61.0,29,3.3,1.0,1.0,1.0,Medium
202,69,Male,Missouri,22,22.0,15,4.3,1.0,1.0,1.0,Low
203,57,Male,Nebraska,38,38.0,33,2.7,1.0,1.0,1.0,Low
204,70,Male,Indiana,38,38.0,18,3.2,1.0,1.0,1.0,Low
205,24,Male,Arizona,100,100.0,35,4.0,1.0,1.0,1.0,High
206,67,Male,Hawaii,64,64.0,25,3.0,1.0,1.0,1.0,Medium
207,24,Male,Wisconsin,55,55.0,6,4.2,1.0,1.0,1.0,Medium
208,62,Male,Rhode Island,91,91.0,17,2.9,1.0,1.0,1.0,High
209,57,Male,Wisconsin,38,38.0,17,4.1,1.0,1.0,1.0,Low
210,55,Male,Minnesota,97,97.0,44,3.2,1.0,1.0,1.0,High
211,45,Male,Vermont,22,22.0,6,3.0,1.0,1.0,1.0,Low
212,69,Male,South Dakota,92,92.0,45,4.2,1.0,1.0,1.0,High
213,67,Male,Virginia,84,84.0,7,4.2,1.0,1.0,1.0,High
214,30,Male,Nevada,93,93.0,11,4.4,1.0,1.0,1.0,High
215,24,Male,Hawaii,50,50.0,41,4.2,1.0,1.0,1.0,Medium
216,62,Male,New Jersey,64,64.0,24,2.8,1.0,1.0,1.0,Medium
217,43,Male,Massachusetts,61,61.0,21,3.7,1.0,1.0,1.0,Medium
218,35,Male,Oklahoma,48,48.0,24,3.5,1.0,1.0,1.0,Medium
219,28,Male,California,45,45.0,8,2.9,1.0,1.0,1.0,Low
220,32,Male,Nevada,88,88.0,12,3.0,1.0,1.0,1.0,High
221,39,Male,Arizona,57,57.0,48,3.7,1.0,1.0,1.0,Medium
222,28,Male,North Carolina,68,68.0,6,4.4,1.0,1.0,1.0,Medium
223,47,Male,New York,94,94.0,14,4.5,1.0,1.0,1.0,High
224,20,Male,Wyoming,41,41.0,34,4.8,1.0,1.0,1.0,Low
225,63,Male,South Dakota,83,83.0,12,2.9,1.0,1.0,1.0,High
226,25,Male,Arkansas,22,22.0,11,3.2,1.0,1.0,1.0,Low
227,29,Male,Texas,74,74.0,5,3.3,1.0,1.0,1.0,High
228,50,Male,Rhode Island,90,90.0,25,4.2,1.0,1.0,1.0,High
229,18,Male,New Hampshire,79,79.0,11,2.9,1.0,1.0,1.0,High
230,70,Male,Ohio,28,28.0,27,4.6,1.0,1.0,1.0,Low
231,66,Male,Utah,88,88.0,43,4.1,1.0,1.0,1.0,High
232,28,Male,Tennessee,26,26.0,18,3.1,1.0,1.0,1.0,Low
233,54,Male,Hawaii,27,27.0,32,4.2,1.0,1.0,1.0,Low
234,19,Male,Arizona,83,83.0,27,4.5,1.0,1.0,1.0,High
235,20,Male,South Dakota,39,39.0,24,3.7,1.0,1.0,1.0,Low
236,43,Male,New Jersey,89,89.0,31,3.7,1.0,1.0,1.0,High
237,38,Male,North Dakota,68,68.0,39,3.4,1.0,1.0,1.0,Medium
238,50,Male,Iowa,90,90.0,36,3.0,1.0,1.0,1.0,High
239,64,Male,Ohio,34,34.0,5,4.2,1.0,1.0,1.0,Low
240,49,Male,Vermont,51,51.0,47,2.9,1.0,1.0,1.0,Medium
241,47,Male,Montana,45,45.0,29,3.5,1.0,1.0,1.0,Low
242,36,Male,Delaware,88,88.0,43,4.1,1.0,1.0,1.0,High
243,55,Male,New York,85,85.0,40,4.3,1.0,1.0,1.0,High
244,25,Male,Kentucky,100,100.0,4,2.8,1.0,1.0,1.0,High
245,53,Male,Oregon,42,42.0,39,4.9,1.0,1.0,1.0,Low
246,49,Male,Rhode Island,53,53.0,45,3.3,1.0,1.0,1.0,Medium
247,35,Male,Nevada,86,86.0,20,3.2,1.0,1.0,1.0,High
248,29,Male,Montana,66,66.0,14,4.4,1.0,1.0,1.0,Medium
249,47,Male,Pennsylvania,100,100.0,33,4.8,1.0,1.0,1.0,High
250,53,Male,Alaska,47,47.0,18,4.2,1.0,1.0,1.0,Medium
251,33,Male,Mississippi,25,25.0,9,4.0,1.0,1.0,1.0,Low
252,21,Male,Wyoming,51,51.0,34,2.5,1.0,1.0,1.0,Medium
253,32,Male,Delaware,41,41.0,33,3.9,1.0,1.0,1.0,Low
254,52,Male,Oklahoma,73,73.0,15,4.9,1.0,1.0,1.0,Medium
255,67,Male,Indiana,42,42.0,4,3.5,1.0,1.0,1.0,Low
256,43,Male,Maryland,20,20.0,25,4.2,1.0,1.0,1.0,Low
257,58,Male,South Dakota,30,30.0,20,4.7,1.0,1.0,1.0,Low
258,20,Male,West Virginia,53,53.0,5,4.5,1.0,1.0,1.0,Medium
259,61,Male,Alabama,74,74.0,16,2.8,1.0,1.0,1.0,High
260,32,Male,Louisiana,57,57.0,13,2.9,1.0,1.0,1.0,Medium
261,38,Male,Montana,57,57.0,11,3.2,1.0,1.0,1.0,Medium
262,21,Male,California,77,77.0,21,4.9,1.0,1.0,1.0,High
263,37,Male,Hawaii,40,40.0,6,,1.0,1.0,1.0,Low
264,27,Male,Iowa,46,46.0,29,4.3,1.0,1.0,1.0,Medium
265,36,Male,Colorado,78,78.0,15,3.9,1.0,1.0,1.0,High
266,32,Male,Michigan,59,59.0,17,3.2,1.0,1.0,1.0,Medium
267,51,Male,Louisiana,75,75.0,32,3.1,1.0,1.0,1.0,High
268,64,Male,Maryland,54,54.0,42,3.9,1.0,1.0,1.0,Medium
269,68,Male,Georgia,42,42.0,21,2.6,1.0,1.0,1.0,Low
270,68,Male,Georgia,44,44.0,9,3.3,1.0,1.0,1.0,Low
271,33,Male,North Dakota,52,52.0,16,4.6,1.0,1.0,1.0,Medium
272,65,Male,Maryland,69,69.0,42,4.6,1.0,1.0,1.0,Medium
273,48,Male,Oregon,26,26.0,37,4.4,1.0,1.0,1.0,Low
274,69,Male,North Dakota,33,33.0,32,4.2,1.0,1.0,1.0,Low
275,59,Male,Maryland,32,32.0,28,3.0,1.0,1.0,1.0,Low
276,48,Male,Virginia,85,85.0,13,4.0,1.0,1.0,1.0,High
277,25,Male,South Dakota,30,30.0,11,3.5,1.0,1.0,1.0,Low
278,29,Male,Georgia,29,29.0,36,3.0,1.0,1.0,1.0,Low
279,57,Male,Hawaii,95,95.0,23,3.7,1.0,1.0,1.0,High
280,23,Male,Arkansas,69,69.0,37,4.0,1.0,1.0,1.0,Medium
281,45,Male,Montana,69,69.0,21,4.2,1.0,1.0,1.0,Medium
282,38,Male,Oklahoma,61,61.0,22,2.5,1.0,1.0,1.0,Medium
283,21,Male,Minnesota,94,94.0,9,3.0,1.0,1.0,1.0,High
284,32,Male,Montana,30,30.0,16,3.2,1.0,1.0,1.0,Low
285,63,Male,Ohio,45,45.0,4,3.5,1.0,1.0,1.0,Low
286,29,Male,Kentucky,39,39.0,3,4.8,1.0,1.0,1.0,Low
287,27,Male,Nebraska,51,51.0,6,2.6,1.0,1.0,1.0,Medium
288,56,Male,Delaware,37,37.0,18,3.4,1.0,1.0,1.0,Low
289,30,Male,North Carolina,62,62.0,34,3.7,1.0,1.0,1.0,Medium
290,49,Male,New York,85,85.0,26,4.5,1.0,1.0,1.0,High
291,58,Male,Colorado,33,33.0,50,3.7,1.0,1.0,1.0,Low
292,57,Male,Delaware,26,26.0,40,3.3,1.0,1.0,1.0,Low
293,60,Male,Utah,99,99.0,24,4.7,1.0,1.0,1.0,High
294,69,Male,Connecticut,39,39.0,33,2.7,1.0,1.0,1.0,Low
295,70,Male,New Jersey,20,20.0,19,4.6,1.0,1.0,1.0,Low
296,53,Male,West Virginia,42,42.0,24,2.7,1.0,1.0,1.0,Low
297,25,Male,Indiana,74,74.0,19,4.8,1.0,1.0,1.0,High
298,48,Male,Delaware,26,26.0,4,4.4,1.0,1.0,1.0,Low
299,69,Male,Maryland,53,53.0,11,4.0,1.0,1.0,1.0,Medium
300,25,Male,Pennsylvania,80,80.0,28,3.2,1.0,1.0,1.0,High
301,29,Male,Iowa,98,98.0,24,4.4,1.0,1.0,1.0,High
302,46,Male,Pennsylvania,95,95.0,25,3.8,1.0,1.0,1.0,High
303,37,Male,Delaware,44,44.0,27,3.6,1.0,1.0,1.0,Low
304,20,Male,Oregon,60,60.0,49,3.3,1.0,1.0,1.0,Medium
305,40,Male,Oregon,84,84.0,45,3.4,1.0,1.0,1.0,High
306,60,Male,Utah,59,59.0,26,3.5,1.0,1.0,1.0,Medium
307,26,Male,North Dakota,49,49.0,4,3.6,1.0,1.0,1.0,Medium
308,29,Male,Florida,32,32.0,3,3.2,1.0,1.0,1.0,Low
309,66,Male,Maryland,29,29.0,45,3.7,1.0,1.0,1.0,Low
310,66,Male,Minnesota,22,22.0,21,4.5,1.0,1.0,1.0,Low
311,56,Male,Montana,85,85.0,50,4.6,1.0,1.0,1.0,High
312,69,Male,Rhode Island,52,52.0,19,4.1,1.0,1.0,1.0,Medium
313,38,Male,Massachusetts,89,89.0,6,3.4,1.0,1.0,1.0,High
314,42,Male,Vermont,77,77.0,50,3.7,1.0,1.0,1.0,High
315,30,Male,New Jersey,24,24.0,17,3.3,1.0,1.0,1.0,Low
316,66,Male,Wisconsin,24,24.0,24,4.5,1.0,1.0,1.0,Low
317,36,Male,California,22,22.0,46,3.3,1.0,1.0,1.0,Low
318,58,Male,West Virginia,82,82.0,42,4.3,1.0,1.0,1.0,High
319,45,Male,South Dakota,67,67.0,10,2.5,1.0,1.0,1.0,Medium
320,47,Male,Maine,74,74.0,1,2.6,1.0,1.0,1.0,High
321,66,Male,Kansas,72,72.0,28,4.9,1.0,1.0,1.0,Medium
322,41,Male,Vermont,36,36.0,48,4.7,1.0,1.0,1.0,Low
323,41,Male,Tennessee,95,95.0,47,3.0,1.0,1.0,1.0,High
324,66,Male,Tennessee,78,78.0,29,3.5,1.0,1.0,1.0,High
325,37,Male,Wyoming,82,82.0,37,4.8,1.0,1.0,1.0,High
326,70,Male,Vermont,70,70.0,38,4.3,1.0,1.0,1.0,Medium
327,62,Male,New Jersey,41,41.0,48,3.2,1.0,1.0,1.0,Low
328,61,Male,Iowa,42,42.0,36,3.1,1.0,1.0,1.0,Low
329,48,Male,Florida,50,50.0,9,2.8,1.0,1.0,1.0,Medium
330,70,Male,Nevada,31,31.0,34,2.9,1.0,1.0,1.0,Low
331,46,Male,North Dakota,51,51.0,43,,1.0,1.0,1.0,Medium
332,31,Male,Florida,98,98.0,46,3.3,1.0,1.0,1.0,High
333,19,Male,New York,86,86.0,5,2.8,1.0,1.0,1.0,High
334,39,Male,Alaska,64,64.0,15,4.5,1.0,1.0,1.0,Medium
335,41,Male,Kansas,46,46.0,30,2.6,1.0,1.0,1.0,Medium
336,20,Male,Oregon,85,85.0,44,3.7,1.0,1.0,1.0,High
337,36,Male,Rhode Island,81,81.0,16,4.4,1.0,1.0,1.0,High
338,32,Male,New Mexico,59,59.0,16,4.3,1.0,1.0,1.0,Medium
339,69,Male,Massachusetts,79,79.0,16,3.5,1.0,1.0,1.0,High
340,40,Male,Pennsylvania,33,33.0,21,3.8,1.0,1.0,1.0,Low
341,40,Male,New Jersey,47,47.0,39,3.5,1.0,1.0,1.0,Medium
342,20,Male,Utah,20,20.0,40,4.6,1.0,1.0,1.0,Low
343,64,Male,Kentucky,36,36.0,48,2.6,1.0,1.0,1.0,Low
344,27,Male,Nebraska,39,39.0,26,4.4,1.0,1.0,1.0,Low
345,24,Male,Virginia,71,71.0,46,4.0,1.0,1.0,1.0,Medium
346,48,Male,Wyoming,59,59.0,27,4.4,1.0,1.0,1.0,Medium
347,49,Male,New Mexico,50,50.0,5,4.7,1.0,1.0,1.0,Medium
348,36,Male,Oregon,41,41.0,43,3.9,1.0,1.0,1.0,Low
349,56,Male,South Carolina,59,59.0,17,2.7,1.0,1.0,1.0,Medium
350,37,Male,Arizona,87,87.0,3,3.7,1.0,1.0,1.0,High
351,42,Male,Kentucky,68,68.0,47,2.6,1.0,1.0,1.0,Medium
